Gene name	Chromosome/scaffold name	Strand direction	Transcript	Intron/Exon	Intron/Exon number	Start (bp)	End (bp)	Length
CG14309	chr3R	Rev	NM_142461	Exon	1	18384697	18385072	376
Vha100-2	chr3R	Rev	NM_142465	Exon	6	18390323	18390890	568
Vha100-2	chr3R	Rev	NM_142465	Exon	5	18390962	18391196	235
Vha100-2	chr3R	Rev	NM_142465	Exon	4	18391259	18391517	259
Vha100-2	chr3R	Rev	NM_142465	Exon	3	18391578	18393205	1628
Vha100-2	chr3R	Rev	NM_142465	Exon	2	18393272	18393409	138
Vha100-2	chr3R	Rev	NM_142465	Exon	1	18398992	18399169	178
CG7675	chr3R	Rev	NM_001300461	Exon	4	18378124	18378967	844
CG7675	chr3R	Rev	NM_001300461	Exon	3	18379226	18379364	139
CG7675	chr3R	Rev	NM_001300461	Exon	2	18380213	18380354	142
CG7675	chr3R	Rev	NM_001300461	Exon	1	18381080	18381178	99
gl	chr3R	Rev	NM_057506	Exon	5	18367927	18368946	1020
gl	chr3R	Rev	NM_057506	Exon	4	18369343	18370835	1493
gl	chr3R	Rev	NM_057506	Exon	3	18371319	18371449	131
gl	chr3R	Rev	NM_057506	Exon	2	18371733	18371869	137
gl	chr3R	Rev	NM_057506	Exon	1	18372517	18372738	222
CG14300	chr3R	Rev	NM_001014639	Exon	2	18693293	18693594	302
CG14300	chr3R	Rev	NM_001014639	Exon	1	18693657	18693711	55
CG34283	chr3R	Rev	NM_001104361	Exon	2	18721967	18722270	304
CG34283	chr3R	Rev	NM_001104361	Exon	1	18722328	18722590	263
CG43210	chr3R	Rev	NM_001300463	Exon	1	18564264	18565173	910
hemo	chr3R	Rev	NM_001300464	Exon	1	18564264	18565173	910
CG14301	chr3R	Rev	NM_142477	Exon	4	18629151	18629899	749
CG14301	chr3R	Rev	NM_142477	Exon	3	18629979	18630089	111
CG14301	chr3R	Rev	NM_142477	Exon	2	18630720	18630914	195
CG14301	chr3R	Rev	NM_142477	Exon	1	18640667	18641457	791
CG7695	chr3R	Rev	NM_142476	Exon	2	18616754	18617030	277
CG7695	chr3R	Rev	NM_142476	Exon	1	18617096	18617511	416
CG7705	chr3R	Rev	NM_142484	Exon	5	18674626	18676235	1610
CG7705	chr3R	Rev	NM_142484	Exon	4	18676630	18676831	202
CG7705	chr3R	Rev	NM_142484	Exon	3	18676890	18677296	407
CG7705	chr3R	Rev	NM_142484	Exon	2	18677365	18677412	48
CG7705	chr3R	Rev	NM_142484	Exon	1	18677479	18677539	61
CG7714	chr3R	Rev	NM_142490	Exon	2	18725399	18726259	861
CG7714	chr3R	Rev	NM_142490	Exon	1	18726343	18726434	92
CG7715	chr3R	Rev	NM_142491	Exon	2	18727573	18728334	762
CG7715	chr3R	Rev	NM_142491	Exon	1	18728408	18728468	61
Cpsf73	chr3R	Rev	NM_142481	Exon	5	18661121	18661248	128
Cpsf73	chr3R	Rev	NM_142481	Exon	4	18661312	18661754	443
Cpsf73	chr3R	Rev	NM_142481	Exon	3	18661816	18663107	1292
CG31224	chr3R	Rev	NM_001300467	Exon	6	18650121	18651919	1799
CG31224	chr3R	Rev	NM_001300467	Exon	5	18652060	18653036	977
CG31224	chr3R	Rev	NM_001300467	Exon	4	18653105	18653226	122
CG31224	chr3R	Rev	NM_001300467	Exon	3	18653291	18655948	2658
CG31224	chr3R	Rev	NM_001300467	Exon	2	18656165	18657185	1021
CG31224	chr3R	Rev	NM_001300467	Exon	1	18659254	18659309	56
CG18208	chr3R	Rev	NM_001275785	Exon	4	18799280	18806606	7327
CG18208	chr3R	Rev	NM_001275785	Exon	3	18806694	18807290	597
CG18208	chr3R	Rev	NM_001275785	Exon	2	18809365	18809523	159
CG18208	chr3R	Rev	NM_001275785	Exon	1	18847591	18849224	1634
CG34284	chr3R	Rev	NM_001104362	Exon	2	18902338	18902786	449
CG34284	chr3R	Rev	NM_001104362	Exon	1	18902863	18902933	71
Epg5	chr3R	Rev	NM_001260255	Exon	15	18750436	18750884	449
Epg5	chr3R	Rev	NM_001260255	Exon	14	18750944	18751519	576
Epg5	chr3R	Rev	NM_001260255	Exon	13	18751578	18751898	321
Epg5	chr3R	Rev	NM_001260255	Exon	12	18751962	18752670	709
CG14291	chr3R	Rev	NM_142503	Exon	1	18911053	18912922	1870
CG14292	chr3R	Rev	NM_142502	Exon	2	18904933	18905477	545
CG14292	chr3R	Rev	NM_142502	Exon	1	18905553	18905655	103
CG14294	chr3R	Rev	NM_142500	Exon	1	18901663	18902264	602
snRNP-U1-C	chr3R	Rev	NM_142510	Exon	1	18982964	18983650	687
Mpc1	chr3R	Rev	NM_001275791	Exon	4	18926996	18927658	663
Mpc1	chr3R	Rev	NM_001275791	Exon	3	18928028	18928128	101
Mpc1	chr3R	Rev	NM_001275791	Exon	2	18928195	18928314	120
Mpc1	chr3R	Rev	NM_001275791	Exon	1	18928389	18928659	271
Smu1	chr3R	Rev	NM_001260260	Exon	6	18978980	18979161	182
Smu1	chr3R	Rev	NM_001260260	Exon	5	18979224	18980302	1079
Smu1	chr3R	Rev	NM_001260260	Exon	4	18980370	18980628	259
Smu1	chr3R	Rev	NM_001260260	Exon	3	18980685	18980751	67
Smu1	chr3R	Rev	NM_001260260	Exon	2	18980820	18980873	54
Smu1	chr3R	Rev	NM_001260260	Exon	1	18981257	18981324	68
euc	chr3R	Rev	NM_001260259	Exon	2	18978273	18978583	311
euc	chr3R	Rev	NM_001260259	Exon	1	18978644	18978809	166
mRpL55	chr3R	Rev	NM_142523	Exon	2	19094394	19094585	192
mRpL55	chr3R	Rev	NM_142523	Exon	1	19094642	19094905	264
CG6005	chr3R	Rev	NM_001300471	Exon	3	19022458	19023442	985
CG6005	chr3R	Rev	NM_001300471	Exon	2	19023504	19023644	141
CG6005	chr3R	Rev	NM_001300471	Exon	1	19023701	19024030	330
GatA	chr3R	Rev	NM_142518	Exon	4	19026174	19027204	1031
GatA	chr3R	Rev	NM_142518	Exon	3	19028115	19028357	243
GatA	chr3R	Rev	NM_142518	Exon	2	19028418	19028665	248
GatA	chr3R	Rev	NM_142518	Exon	1	19028719	19028857	139
Prp18	chr3R	Rev	NM_142519	Exon	1	19029968	19031271	1304
cdi	chr3R	Rev	NM_001260262	Exon	9	19044882	19047448	2567
cdi	chr3R	Rev	NM_001260262	Exon	8	19047677	19047725	49
cdi	chr3R	Rev	NM_001260262	Exon	7	19047988	19049756	1769
cdi	chr3R	Rev	NM_001260262	Exon	6	19049817	19050069	253
CG42359	chr3R	Rev	NM_169850	Exon	2	19161259	19162039	781
CG42359	chr3R	Rev	NM_169850	Exon	1	19162116	19162300	185
CG5217	chr3R	Rev	NM_142539	Exon	2	19247052	19247678	627
CG5217	chr3R	Rev	NM_142539	Exon	1	19247790	19248136	347
CG11703	chr3R	Rev	NM_142535	Exon	1	19226903	19228180	1278
CG11779	chr3R	Rev	NM_142529	Exon	4	19154405	19155797	1393
CG11779	chr3R	Rev	NM_142529	Exon	3	19155865	19156402	538
CG11779	chr3R	Rev	NM_142529	Exon	2	19156466	19156546	81
CG31244	chr3R	Rev	NM_169857	Exon	1	19397430	19398567	1138
CG31245	chr3R	Rev	NM_169856	Exon	2	19376195	19376758	564
CG31245	chr3R	Rev	NM_169856	Exon	1	19376825	19377225	401
CG31404	chr3R	Rev	NM_169855	Exon	1	19375043	19376023	981
CG5555	chr3R	Rev	NM_001275795	Exon	6	19178085	19178552	468
CG5555	chr3R	Rev	NM_001275795	Exon	5	19178619	19179410	792
CG5555	chr3R	Rev	NM_001275795	Exon	4	19179478	19179648	171
CG5555	chr3R	Rev	NM_001275795	Exon	3	19179711	19180059	349
CG5555	chr3R	Rev	NM_001275795	Exon	2	19180127	19180180	54
CG5555	chr3R	Rev	NM_001275795	Exon	1	19180405	19180538	134
CG3581	chr3R	Rev	NM_142542	Exon	1	19373757	19374789	1033
CG44174	chr3R	Rev	NM_001275799	Exon	1	19297246	19297695	450
Dl	chr3R	Rev	NM_057916	Exon	6	19302731	19306589	3859
Dl	chr3R	Rev	NM_057916	Exon	5	19308707	19308761	55
Dl	chr3R	Rev	NM_057916	Exon	4	19311816	19312064	249
Dl	chr3R	Rev	NM_057916	Exon	3	19316006	19316072	67
Dl	chr3R	Rev	NM_057916	Exon	2	19319818	19320129	312
Dl	chr3R	Rev	NM_057916	Exon	1	19325482	19326217	736
CG15025	chr3R	Rev	NM_142553	Exon	2	19489570	19490440	871
CG15025	chr3R	Rev	NM_142553	Exon	1	19490574	19491115	542
CG3517	chr3R	Rev	NM_142550	Exon	1	19423779	19425199	1421
CG6184	chr3R	Rev	NM_169870	Exon	6	19652369	19652867	499
CG6184	chr3R	Rev	NM_169870	Exon	5	19652951	19653563	613
CG6184	chr3R	Rev	NM_169870	Exon	4	19653625	19654923	1299
CG6255	chr3R	Rev	NM_142552	Exon	1	19461879	19463066	1188
CG6184	chr3R	Rev	NM_169870	Exon	3	19654989	19655672	684
Cpr92A	chr3R	Rev	NM_142556	Exon	2	19597502	19598491	990
Cpr92A	chr3R	Rev	NM_142556	Exon	1	19598826	19598955	130
Vha13	chr3R	Rev	NM_001300478	Exon	3	19643018	19643678	661
Vha13	chr3R	Rev	NM_001300478	Exon	2	19643738	19643838	101
Vha13	chr3R	Rev	NM_001300478	Exon	1	19644206	19644386	181
subdued	chr3R	Rev	NM_001202319	Exon	15	19633418	19634152	735
subdued	chr3R	Rev	NM_001202319	Exon	14	19634212	19634350	139
subdued	chr3R	Rev	NM_001202319	Exon	13	19635877	19635982	106
subdued	chr3R	Rev	NM_001202319	Exon	7	19637851	19637971	121
subdued	chr3R	Rev	NM_001202319	Exon	6	19638026	19638194	169
subdued	chr3R	Rev	NM_001202319	Exon	5	19638267	19638427	161
subdued	chr3R	Rev	NM_001202319	Exon	4	19638679	19638750	72
subdued	chr3R	Rev	NM_001202319	Exon	3	19638901	19638969	69
subdued	chr3R	Rev	NM_001202319	Exon	2	19639026	19639413	388
subdued	chr3R	Rev	NM_001202319	Exon	1	19642078	19642722	645
CG11659	chr3R	Rev	NM_142572	Exon	3	19775459	19776457	999
CG11659	chr3R	Rev	NM_142572	Exon	2	19776520	19777031	512
CG11659	chr3R	Rev	NM_142572	Exon	1	19777087	19777280	194
CG6300	chr3R	Rev	NM_142571	Exon	3	19771382	19772399	1018
CG6300	chr3R	Rev	NM_142571	Exon	2	19772462	19772973	512
CG6300	chr3R	Rev	NM_142571	Exon	1	19773032	19773225	194
CG34286	chr3R	Rev	NM_001275810	Exon	2	19715186	19715677	492
CG34286	chr3R	Rev	NM_001275810	Exon	1	19715734	19715927	194
CG4572	chr3R	Rev	NM_169878	Exon	2	19862517	19864191	1675
CG4572	chr3R	Rev	NM_169878	Exon	1	19864276	19864393	118
CG17186	chr3R	Rev	NM_142582	Exon	2	19875974	19877282	1309
CG17186	chr3R	Rev	NM_142582	Exon	1	19877342	19877514	173
CG4465	chr3R	Rev	NM_142590	Exon	2	19915868	19916990	1123
CG4465	chr3R	Rev	NM_142590	Exon	1	19917046	19917839	794
Xport-A	chr3R	Rev	NM_142589	Exon	2	19914396	19915012	617
Xport-A	chr3R	Rev	NM_142589	Exon	1	19915081	19915412	332
CG4538	chr3R	Rev	NM_001300484	Exon	7	19897372	19897645	274
CG4538	chr3R	Rev	NM_001300484	Exon	6	19899153	19899327	175
CG4538	chr3R	Rev	NM_001300484	Exon	5	19899614	19899808	195
CG4538	chr3R	Rev	NM_001300484	Exon	4	19899874	19900095	222
CG4538	chr3R	Rev	NM_001300484	Exon	3	19900225	19900374	150
CG4538	chr3R	Rev	NM_001300484	Exon	2	19900432	19901810	1379
CG4538	chr3R	Rev	NM_001300484	Exon	1	19902841	19903689	849
Surf6	chr3R	Rev	NM_079684	Exon	2	19903665	19904568	904
Surf6	chr3R	Rev	NM_079684	Exon	1	19904623	19904868	246
ninaE	chr3R	Rev	NM_079683	Exon	5	19886255	19886671	417
ninaE	chr3R	Rev	NM_079683	Exon	4	19886740	19887017	278
ninaE	chr3R	Rev	NM_079683	Exon	3	19887076	19887223	148
ninaE	chr3R	Rev	NM_079683	Exon	2	19887399	19887959	561
ninaE	chr3R	Rev	NM_079683	Exon	1	19888023	19888206	184
CG4562	chr3R	Rev	NM_001275816	Exon	9	19865417	19868770	3354
CG4562	chr3R	Rev	NM_001275816	Exon	8	19868855	19869348	494
CG4562	chr3R	Rev	NM_001275816	Exon	7	19869410	19871001	1592
CG4562	chr3R	Rev	NM_001275816	Exon	6	19871332	19871513	182
CG4562	chr3R	Rev	NM_001275816	Exon	5	19871573	19871769	197
CG4562	chr3R	Rev	NM_001275816	Exon	4	19871842	19872001	160
CG4562	chr3R	Rev	NM_001275816	Exon	3	19874201	19874286	86
CG4562	chr3R	Rev	NM_001275816	Exon	2	19874345	19874510	166
CG4562	chr3R	Rev	NM_001275816	Exon	1	19875398	19875678	281
trem	chr3R	Rev	NM_142604	Exon	1	20031064	20031309	246
CG10889	chr3R	Rev	NM_142606	Exon	1	20033881	20036056	2176
CG4424	chr3R	Rev	NM_142602	Exon	5	20026487	20026765	279
CG4424	chr3R	Rev	NM_142602	Exon	4	20026831	20026941	111
CG4424	chr3R	Rev	NM_142602	Exon	3	20027052	20027186	135
CG4424	chr3R	Rev	NM_142602	Exon	2	20027247	20027749	503
CG4424	chr3R	Rev	NM_142602	Exon	1	20027811	20028040	230
CG4433	chr3R	Rev	NM_142600	Exon	4	20018269	20019163	895
CG4433	chr3R	Rev	NM_142600	Exon	3	20019225	20019318	94
CG4433	chr3R	Rev	NM_142600	Exon	2	20019465	20019755	291
CG4433	chr3R	Rev	NM_142600	Exon	1	20020348	20021338	991
CG4459	chr3R	Rev	NM_142593	Exon	4	19926322	19926986	665
CG4459	chr3R	Rev	NM_142593	Exon	3	19927042	19927668	627
CG4459	chr3R	Rev	NM_142593	Exon	2	19927810	19927964	155
CG4459	chr3R	Rev	NM_142593	Exon	1	19928030	19928644	615
mira	chr3R	Rev	NM_057944	Exon	2	19931799	19932798	1000
mira	chr3R	Rev	NM_057944	Exon	1	19932889	19935120	2232
trem	chr3R	Rev	NM_142604	Exon	5	20029560	20029831	272
trem	chr3R	Rev	NM_142604	Exon	4	20029891	20030001	111
trem	chr3R	Rev	NM_142604	Exon	3	20030058	20030192	135
trem	chr3R	Rev	NM_142604	Exon	2	20030249	20031009	761
CG17190	chr3R	Rev	NM_001260271	Exon	2	20011776	20012593	818
CG17190	chr3R	Rev	NM_001260271	Exon	1	20013391	20013504	114
CG31206	chr3R	Rev	NM_001275824	Exon	4	20106936	20107331	396
CG31206	chr3R	Rev	NM_001275824	Exon	3	20107396	20107524	129
CG31206	chr3R	Rev	NM_001275824	Exon	2	20107573	20107778	206
CG31206	chr3R	Rev	NM_001275824	Exon	1	20107839	20107963	125
CG4390	chr3R	Rev	NM_169887	Exon	2	20056418	20057374	957
CG4390	chr3R	Rev	NM_169887	Exon	1	20059567	20059750	184
CG17199	chr3R	Rev	NM_142611	Exon	1	20208201	20209791	1591
CG4362	chr3R	Rev	NM_142619	Exon	3	20306216	20306476	261
CG4362	chr3R	Rev	NM_142619	Exon	2	20306544	20306916	373
CG4362	chr3R	Rev	NM_142619	Exon	1	20307343	20307537	195
CG4367	chr3R	Rev	NM_001300492	Exon	2	20303955	20304720	766
CG4367	chr3R	Rev	NM_001300492	Exon	1	20304782	20304954	173
CG4335	chr3R	Rev	NM_142629	Exon	2	20406615	20407574	960
CG4335	chr3R	Rev	NM_142629	Exon	1	20407634	20407871	238
CG4360	chr3R	Rev	NM_142622	Exon	3	20324274	20326152	1879
CG4360	chr3R	Rev	NM_142622	Exon	2	20326316	20326798	483
CG4360	chr3R	Rev	NM_142622	Exon	1	20326873	20328003	1131
att-ORFB	chr3R	Rev	NM_206523	Exon	5	20552635	20553056	422
Dic2	chr3R	Rev	NM_169896	Exon	4	20499992	20500567	576
Dic2	chr3R	Rev	NM_169896	Exon	3	20500885	20501583	699
Dic2	chr3R	Rev	NM_169896	Exon	2	20501639	20501832	194
Dic2	chr3R	Rev	NM_169896	Exon	1	20501886	20502015	130
CG10877	chr3R	Rev	NM_142637	Exon	1	20562486	20564067	1582
MFS9	chr3R	Rev	NM_142632	Exon	6	20507392	20507901	510
MFS9	chr3R	Rev	NM_142632	Exon	5	20507975	20508251	277
MFS9	chr3R	Rev	NM_142632	Exon	4	20508503	20509043	541
MFS9	chr3R	Rev	NM_142632	Exon	3	20509151	20509454	304
MFS9	chr3R	Rev	NM_142632	Exon	2	20510012	20510093	82
MFS9	chr3R	Rev	NM_142632	Exon	1	20512337	20512468	132
MtnE	chr3R	Rev	NM_001300498	Exon	2	20534021	20534529	509
MtnE	chr3R	Rev	NM_001300498	Exon	1	20534610	20534704	95
CG15922	chr3R	Rev	NM_001275834	Exon	3	20559708	20559836	129
CG15922	chr3R	Rev	NM_001275834	Exon	2	20559898	20560047	150
CG15922	chr3R	Rev	NM_001275834	Exon	1	20560162	20560280	119
CG34008	chr3R	Rev	NM_001038973	Exon	3	20580683	20581044	362
CG34008	chr3R	Rev	NM_001038973	Exon	2	20581113	20581374	262
CG34008	chr3R	Rev	NM_001038973	Exon	1	20581432	20581522	91
CG4000	chr3R	Rev	NM_142649	Exon	1	20677268	20677351	84
CG4159	chr3R	Rev	NM_001170193	Exon	4	20591024	20591611	588
CG4159	chr3R	Rev	NM_001170193	Exon	3	20591676	20591952	277
CG4159	chr3R	Rev	NM_001170193	Exon	2	20592008	20592493	486
CG4159	chr3R	Rev	NM_001170193	Exon	1	20592557	20592671	115
GluRIIE	chr3R	Rev	NM_001043268	Exon	13	20644154	20644936	783
GluRIIE	chr3R	Rev	NM_001043268	Exon	12	20644995	20645257	263
GluRIIE	chr3R	Rev	NM_001043268	Exon	11	20645314	20645539	226
GluRIIE	chr3R	Rev	NM_001043268	Exon	10	20645593	20645794	202
GluRIIE	chr3R	Rev	NM_001043268	Exon	9	20645850	20646126	277
GluRIIE	chr3R	Rev	NM_001043268	Exon	8	20646190	20646274	85
GluRIIE	chr3R	Rev	NM_001043268	Exon	7	20646327	20646530	204
CG4000	chr3R	Rev	NM_142649	Exon	3	20676224	20676374	151
CG4000	chr3R	Rev	NM_142649	Exon	2	20676442	20677205	764
GluRIID	chr3R	Rev	NM_143725	Exon	14	20648595	20648974	380
GluRIID	chr3R	Rev	NM_143725	Exon	13	20649039	20649188	150
GluRIID	chr3R	Rev	NM_143725	Exon	12	20649248	20649360	113
GluRIID	chr3R	Rev	NM_143725	Exon	11	20649416	20649641	226
GluRIID	chr3R	Rev	NM_143725	Exon	10	20649698	20649899	202
GluRIID	chr3R	Rev	NM_143725	Exon	9	20649956	20650232	277
GluRIID	chr3R	Rev	NM_143725	Exon	8	20650290	20650374	85
GluRIID	chr3R	Rev	NM_143725	Exon	7	20650430	20650633	204
GluRIID	chr3R	Rev	NM_143725	Exon	6	20650695	20650925	231
GluRIID	chr3R	Rev	NM_143725	Exon	5	20650982	20651145	164
GluRIID	chr3R	Rev	NM_143725	Exon	4	20651206	20651598	393
GluRIID	chr3R	Rev	NM_143725	Exon	3	20651657	20651879	223
GluRIID	chr3R	Rev	NM_143725	Exon	2	20651937	20652097	161
GluRIID	chr3R	Rev	NM_143725	Exon	1	20652180	20652450	271
CG16953	chr3R	Rev	NM_142640	Exon	7	20581770	20582740	971
CG16953	chr3R	Rev	NM_142640	Exon	6	20582798	20582906	109
CG16953	chr3R	Rev	NM_142640	Exon	5	20582971	20583135	165
CG16953	chr3R	Rev	NM_142640	Exon	4	20583197	20583316	120
CG16953	chr3R	Rev	NM_142640	Exon	3	20583380	20584244	865
CG16953	chr3R	Rev	NM_142640	Exon	2	20585137	20585288	152
CG16953	chr3R	Rev	NM_142640	Exon	1	20585403	20585833	431
Nep4	chr3R	Rev	NM_001275844	Exon	5	20652567	20652784	218
Nep4	chr3R	Rev	NM_001275844	Exon	4	20653151	20653564	414
Nep4	chr3R	Rev	NM_001275844	Exon	3	20653727	20654735	1009
Nep4	chr3R	Rev	NM_001275844	Exon	2	20654852	20656452	1601
Nep4	chr3R	Rev	NM_001275844	Exon	1	20659518	20659904	387
CG15923	chr3R	Rev	NM_001275840	Exon	7	20611251	20612689	1439
CG15923	chr3R	Rev	NM_001275840	Exon	6	20612746	20612909	164
CG15923	chr3R	Rev	NM_001275840	Exon	5	20612966	20613053	88
CG15923	chr3R	Rev	NM_001275840	Exon	4	20613320	20613488	169
CG15923	chr3R	Rev	NM_001275840	Exon	3	20613547	20614724	1178
CG15923	chr3R	Rev	NM_001275840	Exon	2	20614793	20615751	959
CG15923	chr3R	Rev	NM_001275840	Exon	1	20616580	20616901	322
Pi3K92E	chr3R	Rev	NM_001275841	Exon	8	20628972	20629875	904
Pi3K92E	chr3R	Rev	NM_001275841	Exon	7	20629939	20630058	120
Pi3K92E	chr3R	Rev	NM_001275841	Exon	6	20630127	20630297	171
Pi3K92E	chr3R	Rev	NM_001275841	Exon	5	20630357	20630663	307
Pi3K92E	chr3R	Rev	NM_001275841	Exon	4	20630720	20631307	588
Pi3K92E	chr3R	Rev	NM_001275841	Exon	3	20631509	20631715	207
Pi3K92E	chr3R	Rev	NM_001275841	Exon	2	20631778	20633713	1936
Pi3K92E	chr3R	Rev	NM_001275841	Exon	1	20634127	20634732	606
CG17271	chr3R	Rev	NM_001043269	Exon	5	20819129	20819494	366
CG17271	chr3R	Rev	NM_001043269	Exon	4	20820650	20820798	149
CG17271	chr3R	Rev	NM_001043269	Exon	3	20821146	20821366	221
CG17271	chr3R	Rev	NM_001043269	Exon	2	20821428	20821541	114
CG17271	chr3R	Rev	NM_001043269	Exon	1	20821601	20821848	248
Sep2	chr3R	Rev	NM_001275835	Exon	3	20586129	20587457	1329
Sep2	chr3R	Rev	NM_001275835	Exon	2	20587870	20587995	126
Sep2	chr3R	Rev	NM_001275835	Exon	1	20588124	20588356	233
Fancd2	chr3R	Rev	NM_206524	Exon	14	20810804	20811535	732
Fancd2	chr3R	Rev	NM_206524	Exon	13	20811593	20811812	220
Fancd2	chr3R	Rev	NM_206524	Exon	12	20811868	20812092	225
Fancd2	chr3R	Rev	NM_206524	Exon	11	20812149	20813176	1028
Fancd2	chr3R	Rev	NM_206524	Exon	10	20813237	20813359	123
Fancd2	chr3R	Rev	NM_206524	Exon	9	20813413	20813611	199
Fancd2	chr3R	Rev	NM_206524	Exon	8	20813666	20814153	488
Fancd2	chr3R	Rev	NM_206524	Exon	7	20814221	20814390	170
Fancd2	chr3R	Rev	NM_206524	Exon	6	20814452	20814524	73
Fancd2	chr3R	Rev	NM_206524	Exon	5	20814581	20814771	191
Fancd2	chr3R	Rev	NM_206524	Exon	4	20814826	20814894	69
Fancd2	chr3R	Rev	NM_206524	Exon	3	20814951	20815092	142
Fancd2	chr3R	Rev	NM_206524	Exon	2	20815198	20815952	755
Fancd2	chr3R	Rev	NM_206524	Exon	1	20816019	20816190	172
CG31195	chr3R	Rev	NM_169923	Exon	7	20757269	20758890	1622
Takl1	chr3R	Rev	NM_169924	Exon	4	20770828	20771444	617
Takl1	chr3R	Rev	NM_169924	Exon	3	20771787	20772108	322
Takl1	chr3R	Rev	NM_169924	Exon	2	20772162	20772470	309
Takl1	chr3R	Rev	NM_169924	Exon	1	20772527	20772601	75
AdSS	chr3R	Rev	NM_142661	Exon	5	20824667	20825568	902
AdSS	chr3R	Rev	NM_142661	Exon	4	20825633	20825993	361
AdSS	chr3R	Rev	NM_142661	Exon	3	20826064	20826343	280
AdSS	chr3R	Rev	NM_142661	Exon	2	20827980	20828082	103
AdSS	chr3R	Rev	NM_142661	Exon	1	20830276	20830580	305
CG17270	chr3R	Rev	NM_142658	Exon	5	20816445	20817214	770
CG17270	chr3R	Rev	NM_142658	Exon	4	20817309	20817427	119
CG17270	chr3R	Rev	NM_142658	Exon	3	20817495	20817585	91
CG17270	chr3R	Rev	NM_142658	Exon	2	20817640	20817800	161
CG17270	chr3R	Rev	NM_142658	Exon	1	20818709	20818929	221
CG17272	chr3R	Rev	NM_142660	Exon	4	20823313	20823739	427
CG17272	chr3R	Rev	NM_142660	Exon	3	20823803	20823867	65
CG17272	chr3R	Rev	NM_142660	Exon	2	20823935	20823965	31
CG17272	chr3R	Rev	NM_142660	Exon	1	20824093	20824239	147
CG31195	chr3R	Rev	NM_169923	Exon	6	20758982	20759099	118
CG31195	chr3R	Rev	NM_169923	Exon	5	20759375	20759904	530
CG31195	chr3R	Rev	NM_169923	Exon	4	20760448	20760565	118
CG31195	chr3R	Rev	NM_169923	Exon	3	20760639	20760819	181
CG31195	chr3R	Rev	NM_169923	Exon	2	20760880	20761175	296
CG31195	chr3R	Rev	NM_169923	Exon	1	20761234	20762369	1136
CG31199	chr3R	Rev	NM_169917	Exon	2	20742800	20743527	728
CG31199	chr3R	Rev	NM_169917	Exon	1	20743585	20743869	285
CG17267	chr3R	Rev	NM_142650	Exon	2	20737325	20738334	1010
CG17267	chr3R	Rev	NM_142650	Exon	1	20738601	20739100	500
CG31200	chr3R	Rev	NM_142652	Exon	3	20744234	20744964	731
CG31200	chr3R	Rev	NM_142652	Exon	2	20745087	20745203	117
CG31200	chr3R	Rev	NM_142652	Exon	1	20745272	20745338	67
Prosalpha4T1	chr3R	Rev	NM_142653	Exon	1	20748184	20749074	891
CG31191	chr3R	Rev	NM_001104380	Exon	6	20909213	20911912	2700
CG31191	chr3R	Rev	NM_001104380	Exon	5	20911971	20912077	107
CG31191	chr3R	Rev	NM_001104380	Exon	4	20912142	20912340	199
CG31191	chr3R	Rev	NM_001104380	Exon	3	20912410	20912669	260
CG31191	chr3R	Rev	NM_001104380	Exon	2	20930163	20930945	783
CG31191	chr3R	Rev	NM_001104380	Exon	1	20945164	20945530	367
CG31207	chr3R	Rev	NM_169943	Exon	1	21046917	21047027	111
Ktl	chr3R	Rev	NM_001316538	Exon	2	20894452	20895681	1230
Ktl	chr3R	Rev	NM_001316538	Exon	1	20895745	20897320	1576
CG3822	chr3R	Rev	NM_142668	Exon	13	20860187	20861308	1122
CG3822	chr3R	Rev	NM_142668	Exon	12	20861391	20861510	120
CG3822	chr3R	Rev	NM_142668	Exon	11	20861566	20861677	112
CG3822	chr3R	Rev	NM_142668	Exon	10	20861731	20861929	199
CG3822	chr3R	Rev	NM_142668	Exon	9	20861988	20862119	132
CG3822	chr3R	Rev	NM_142668	Exon	8	20862175	20862435	261
CG3822	chr3R	Rev	NM_142668	Exon	7	20862498	20862667	170
CG3822	chr3R	Rev	NM_142668	Exon	6	20862728	20863403	676
CG3822	chr3R	Rev	NM_142668	Exon	5	20863578	20863735	158
CG3822	chr3R	Rev	NM_142668	Exon	4	20863803	20863892	90
CG3822	chr3R	Rev	NM_142668	Exon	3	20863959	20864053	95
CG3822	chr3R	Rev	NM_142668	Exon	2	20865472	20865627	156
CG3822	chr3R	Rev	NM_142668	Exon	1	20865916	20866231	316
Ir93a	chr3R	Rev	NM_142667	Exon	11	20851709	20852571	863
Ir93a	chr3R	Rev	NM_142667	Exon	10	20852696	20853071	376
Ir93a	chr3R	Rev	NM_142667	Exon	9	20853125	20853304	180
Ir93a	chr3R	Rev	NM_142667	Exon	8	20853359	20853507	149
Ir93a	chr3R	Rev	NM_142667	Exon	7	20853565	20853667	103
Ir93a	chr3R	Rev	NM_142667	Exon	6	20853874	20854421	548
Ir93a	chr3R	Rev	NM_142667	Exon	5	20854514	20854528	15
Ir93a	chr3R	Rev	NM_142667	Exon	4	20859266	20859359	94
Ir93a	chr3R	Rev	NM_142667	Exon	3	20859418	20859554	137
Ir93a	chr3R	Rev	NM_142667	Exon	2	20859613	20859765	153
Ir93a	chr3R	Rev	NM_142667	Exon	1	20859822	20859945	124
TotX	chr3R	Rev	NM_080520	Exon	1	20904917	20905518	602
